"n1","n2","p","r","beta","myLevel","oracleLevel"
300,300,200,2,0.5,0.075,0.062
600,600,200,2,0.5,0.061,0.055
300,300,400,2,0.5,0.074,0.065
600,600,400,2,0.5,0.051,0.048
300,300,600,2,0.5,0.058,0.041
600,600,600,2,0.5,0.061,0.058
300,300,800,2,0.5,0.066,0.047
600,600,800,2,0.5,0.053,0.046
300,300,200,2,1,0.079,0.062
600,600,200,2,1,0.052,0.051
300,300,400,2,1,0.061,0.044
600,600,400,2,1,0.051,0.042
300,300,600,2,1,0.07,0.052
600,600,600,2,1,0.056,0.054
300,300,800,2,1,0.071,0.052
600,600,800,2,1,0.06,0.05
300,300,200,2,2,0.074,0.07
600,600,200,2,2,0.058,0.056
300,300,400,2,2,0.046,0.04
600,600,400,2,2,0.059,0.051
300,300,600,2,2,0.071,0.055
600,600,600,2,2,0.051,0.047
300,300,800,2,2,0.062,0.048
600,600,800,2,2,0.056,0.048
